date,bases,open_access_bases,bytes,open_access_bytes
"06/05/2007",20304190150,20304190150,50496285115,50496285115
"04/04/2008",39753724527,39753724527,98578509466,98578509466
"04/05/2008",41358022149,41358022149,102560743983,102560743983
"04/09/2008",41807184131,41807184131,103698289223,103698289223
"04/15/2008",41932946619,41932946619,104004397361,104004397361
"04/17/2008",57328868847,57328868847,136684213042,136684213042
"04/18/2008",59828290459,59828290459,142423216562,142423216562
"04/19/2008",59994877055,59994877055,142770545864,142770545864
"04/21/2008",61795910116,61795910116,146673225601,146673225601
"04/23/2008",61874273517,61874273517,146863477512,146863477512
"04/25/2008",78286121880,78286121880,266910670949,266910670949
"04/26/2008",81230919552,81230919552,288339597208,288339597208
"04/28/2008",81425950794,81425950794,289675423304,289675423304
"04/29/2008",81488735402,81488735402,289834111603,289834111603
"04/30/2008",81619474231,81619474231,290159263391,290159263391
"05/07/2008",83844319471,83844319471,295440157489,295440157489
"05/09/2008",83942699043,83942699043,295679230886,295679230886
"05/10/2008",83987696802,83987696802,295792947576,295792947576
"05/14/2008",84888106282,84888106282,297986029318,297986029318
"05/16/2008",85211617240,85211617240,298785283475,298785283475
"05/19/2008",85279266450,85279266450,298955477558,298955477558
"05/23/2008",85306302605,85306302605,299021384745,299021384745
"06/02/2008",90753972558,90753972558,338003374089,338003374089
"06/03/2008",101638675610,101638675610,416995393108,416995393108
"06/18/2008",101905199956,101905199956,417571490437,417571490437
"06/23/2008",103497911374,103497911374,421084340071,421084340071
"06/24/2008",106220086819,106220086819,441259183261,441259183261
"06/26/2008",113542930506,113542930506,495037980897,495037980897
"06/27/2008",116179939398,116179939398,514306406806,514306406806
"07/01/2008",135385439642,135385439642,556701109709,556701109709
"07/03/2008",135653451939,135653451939,557284998193,557284998193
"07/08/2008",138340052638,138340052638,577224783041,577224783041
"07/10/2008",138506447763,138506447763,577646523282,577646523282
"07/11/2008",164240289513,164240289513,763318381456,763318381456
"07/12/2008",172492975109,172492975109,822888164584,822888164584
"07/14/2008",182707633577,182707633577,845793666302,845793666302
"07/15/2008",187698329417,187698329417,849753245310,849753245310
"07/16/2008",216762585005,216762585005,872174807783,872174807783
"07/17/2008",226694688933,226694688933,899298418507,899298418507
"07/18/2008",229422805699,229422805699,917959710045,917959710045
"07/19/2008",234435561781,234435561781,953953487835,953953487835
"07/21/2008",246713673788,246713673788,1055755592234,1055755592234
"07/22/2008",277939363176,277939363176,1277802137705,1277802137705
"07/23/2008",296033773746,296033773746,1406338077565,1406338077565
"07/24/2008",310929118231,310929118231,1515423044800,1515423044800
"07/25/2008",339796446878,339796446878,1709940529360,1709940529360
"07/31/2008",346113573597,346113573597,1755467513329,1755467513329
"08/01/2008",351775150353,351775150353,1796394265562,1796394265562
"08/06/2008",356170807089,356170807089,1854273706448,1854273706448
"08/07/2008",359516517705,359516517705,1897508687363,1897508687363
"08/08/2008",360138195375,360138195375,1898415408586,1898415408586
"08/09/2008",360270027582,360270027582,1898700716002,1898700716002
"08/14/2008",375131303562,375131303562,2018215416222,2018215416222
"08/15/2008",428258562208,428258562208,2203734538510,2203734538510
"08/16/2008",469838383346,469838383346,2504243229024,2504243229024
"08/17/2008",486283632476,486283632476,2594400590036,2594400590036
"08/18/2008",509804810456,509804810456,2748336294810,2748336294810
"08/19/2008",538153550528,538153550528,2947041569952,2947041569952
"08/20/2008",594621435528,594621435528,3338439069892,3338439069892
"08/21/2008",604609385076,604609385076,3400278836198,3400278836198
"08/23/2008",610576496964,610576496964,3480622687417,3480622687417
"08/25/2008",638098600035,638098600035,3629524594652,3629524594652
"08/26/2008",689607743319,689607743319,3884252286729,3884252286729
"08/27/2008",698736560024,698736560024,3908737674987,3908737674987
"08/28/2008",716688132819,716688132819,3939975020897,3939975020897
"08/29/2008",724868417709,724868417709,3960910790662,3960910790662
